,resistant
81,0
851,0
507,0
814,0
2796,0
2957,1
1947,1
288,1
1571,0
1570,0
245,1
2481,1
1550,0
2036,1
1410,0
539,1
50,0
450,0
687,0
3324,0
1934,0
1322,1
3082,0
12,1
1072,0
1379,0
446,0
1223,0
3284,0
1643,0
454,0
1090,0
2736,0
1412,0
2347,1
1600,0
2003,0
2497,0
842,0
408,0
920,0
3334,0
1446,0
589,0
1029,0
2734,0
1314,0
72,0
1502,0
1717,0
1173,0
2168,0
3172,0
2053,1
3290,0
516,0
1617,0
3269,0
62,0
2048,1
3407,1
3249,0
1293,0
1327,0
3441,1
572,0
691,0
1424,0
439,0
1856,0
3118,0
2239,0
2382,1
1020,1
2603,0
3286,0
2594,0
352,1
154,0
2101,0
2665,0
426,0
690,0
2701,1
172,1
2465,0
1088,0
1250,0
2205,1
2978,0
2359,1
617,0
1684,0
391,0
1191,0
113,0
1346,0
1718,0
3253,0
2451,0
2843,0
3255,0
1400,0
2860,0
1157,0
1484,0
801,0
1681,0
1291,0
2225,0
1804,0
1908,0
2034,1
805,0
1296,1
2969,0
1192,0
2929,1
2307,1
1782,0
1549,0
2892,1
880,0
2102,0
3115,0
2683,0
2619,1
937,0
958,0
2312,1
140,0
2935,1
1915,0
889,1
1102,0
340,1
3384,1
596,0
2475,0
272,1
2361,1
1109,0
1821,0
640,0
3427,1
678,0
3139,0
2956,0
1016,0
416,0
2030,1
2527,0
1307,0
1546,1
2644,0
3409,1
65,0
3005,0
302,1
2882,0
3389,1
3074,0
545,0
3028,0
1021,0
2298,0
1233,0
3145,0
1229,0
3279,0
2267,0
2080,1
1392,0
97,0
2244,0
3301,0
358,1
2212,0
1558,0
1313,0
1188,0
2186,1
1809,1
3383,1
642,0
1181,0
1940,0
2988,0
2851,0
2567,0
1371,0
3247,0
1443,0
697,0
1439,0
2604,0
2372,0
1878,1
894,0
2612,0
20,0
2595,0
1128,0
3046,0
1193,0
3292,0
1807,0
59,0
3099,0
2601,0
2494,0
1637,0
998,0
2832,1
3081,0
2043,0
379,1
1024,0
331,1
1052,0
1842,0
2856,0
1143,1
2910,1
1398,0
651,0
3214,0
1609,0
360,1
1113,0
1330,0
442,0
2020,0
3038,0
3162,0
1116,0
2573,0
2444,0
3265,0
967,0
1662,0
1959,1
868,0
1082,0
90,0
2124,1
452,0
1364,0
1930,0
2777,0
230,0
1044,0
3133,0
1120,0
1850,0
1659,0
2625,0
3435,1
2672,1
66,0
919,0
838,0
355,1
1134,0
2394,0
1234,0
277,1
2900,1
1255,0
956,0
2019,0
2542,1
116,0
2073,1
291,1
2509,1
1367,0
873,0
1984,0
1942,0
151,0
1473,0
1449,0
2586,0
2806,0
3088,0
491,0
1700,0
3275,0
3296,0
3188,0
2018,0
163,1
2773,0
608,0
1530,0
2571,1
787,0
13,1
1187,0
2960,0
989,0
2942,1
2484,0
2770,1
496,0
2250,1
912,0
1961,0
3051,0
1151,0
1598,0
1059,0
2853,0
3161,0
35,0
3012,0
1098,0
568,0
2802,0
3095,0
1284,0
67,0
1875,1
3016,0
1980,0
